"1674839";"government entity";"Ayala PLC"";"Grade AAA";"328.00"
"2651539";"airport company";"Wright Green and Riley"";"Grade AAA";"149.00"
"12530975";"private corporation";"Benton-Zhang"";"Grade AA";"50.00"
"16593304";"public airline";"Salinas Saunders and Hernandez"";"Grade A";"357.00"
"36168032";"private corporation";"Perez Patel and Alvarez"";"Grade AAA";"83.00"
"43728678";"public airline";"Smith-Dougherty"";"Grade A";"406.00"
"55588541";"private corporation";"Bell Ltd"";"Grade AA";"85.00"
"56500887";"public airline";"Mckinney Jones and Jackson"";"Grade A";"315.00"
"68722508";"airport company";"Miranda Snyder and Wu"";"Grade A";"175.00"
"70487040";"public airline";"Tate-Moore"";"Grade A";"102.00"
"94841884";"government entity";"Anderson Johnson and Miller"";"Grade A";"167.00"
"98723673";"public airline";"Barnes Group"";"Grade AA";"146.00"
"101271883";"public airline";"Jensen Jackson and Brown"";"Grade A";"489.00"
"105546912";"private corporation";"Davila Fowler and Munoz"";"Grade AA";"101.00"
"111196161";"public airline";"Soto LLC"";"Grade AAA";"417.00"
"113171798";"public airline";"Duncan Farley and Braun"";"Grade AAA";"456.00"
"127889526";"private corporation";"Washington Campos and Harris"";"Grade AAA";"147.00"
"128521856";"public airline";"Brown Group"";"Grade A";"82.00"
"149954556";"airport company";"Smith and Sons"";"Grade AA";"135.00"
"161103579";"airport company";"Mccormick-Hooper"";"Grade AA";"91.00"
"162016080";"airport company";"Smith-Watson"";"Grade A";"394.00"
"180955133";"private corporation";"Phillips LLC"";"Grade AAA";"64.00"
"205153066";"private airline";"Ford-Gentry"";"Grade AAA";"84.00"
"215465315";"airport company";"Mills and Sons"";"Grade AA";"410.00"
"218596800";"private corporation";"Stewart-Bradley"";"Grade A";"145.00"
"224593184";"private corporation";"Fitzpatrick PLC"";"Grade A";"90.00"
"235516455";"public airline";"Wade PLC"";"Grade AA";"378.00"
"248706524";"government entity";"Mccoy-Bates"";"Grade AAA";"84.00"
"249278580";"public airline";"Costa-Zavala"";"Grade AA";"134.00"
"249511719";"private corporation";"Johnson-Lee"";"Grade AA";"77.00"
"253737200";"airport company";"Levy LLC"";"Grade AA";"297.00"
"259558810";"public airline";"Dunn Inc"";"Grade AAA";"90.00"
"262241313";"airport company";"Nunez Gonzalez and Anderson"";"Grade AA";"420.00"
"276238105";"private airline";"Miller-Gutierrez"";"Grade A";"75.00"
"287374916";"public airline";"Underwood-Martin"";"Grade AA";"82.00"
"294263095";"government entity";"Taylor-Rich"";"Grade AAA";"356.00"
"305629300";"public airline";"Adams Franklin and Rose"";"Grade AA";"255.00"
"331764187";"airport company";"Schwartz Group"";"Grade AA";"490.00"
"348193948";"private corporation";"King-Wong"";"Grade AA";"142.00"
"348360039";"government entity";"Morris Martinez and Rose"";"Grade A";"83.00"
"349528241";"airport company";"Rodriguez and Sons"";"Grade A";"116.00"
"352756078";"private airline";"Hernandez-Miller"";"Grade AAA";"124.00"
"354057015";"public airline";"Johnson Jackson and Garcia"";"Grade A";"464.00"
"362328640";"private corporation";"Brown Inc"";"Grade AA";"125.00"
"362750285";"public airline";"Oconnor-Aguilar"";"Grade AA";"192.00"
"365310443";"public airline";"Bell Group"";"Grade A";"197.00"
"382864181";"private airline";"Solomon PLC"";"Grade AAA";"114.00"
